rubro,linea,nombre_base,codigo,nombre_original,medidas,precio_lista,moneda
DECO,DECO,BOTELLA WELLA,c5986,Botella Wella 750ml,,26364.69,ARS
DECO,DECO,BOTELLA WELLA,c5987,Botella Wella 1000ml,,29528.45,ARS
DECO,DECO,FRASCOS HOLZ,c6417,Frascos Holz 1800ml,,28968.2,ARS
DECO,DECO,FRASCOS HOLZ,c6418,Frascos Holz 1500ml,,26068.09,ARS
DECO,DECO,FRASCOS HOLZ,c6419,Frascos Holz 1100ml,,23893.0,ARS
Flotante Blend,Blend 7mm,FLOTANTE BLEND 16 TABLAS,23259,"Flotante Blend 7mm (19,5x1,38) 16 tablas - -","7x0,19x1,38",30.76,USD
Flotante Blend,Blend 7mm,FLOTANTE BLEND 16 TABLAS,23276,"Flotante Blend 7mm (19,5x1,28) 16 tablas - -","7x0,19x1,28",30.76,USD
Flotante Blend,Blend 9mm,FLOTANTE BLEND CON MANTA 11 TABLAS,23258,"Flotante Blend 9mm con manta (19,5x1,38) 11 tablas - -","9x0,19x1,38",19.28,USD
Flotante Blend,Blend 9mm,FLOTANTE BLEND CON MANTA 11 TABLAS,23265,"Flotante Blend 9mm con manta (19,5x1,28) 11 tablas - -","9x0,19x1,28",19.28,USD
Flotante One,Flotante One,FLOTANTE ONE CEREZO BRASIL COD. YT 6199 SILVER,7172,Flotante One Cerezo Brasil Cod. yt-6199 Silver 8.2 mm -,"8,2 x 19,5 x 1,21",17.76,USD
Flotante One,Flotante One,FLOTANTE ONE CEREZO BRASIL COD. YT 6199 SILVER,8176,Flotante One Cerezo Brasil Cod. yt-6199 Silver 8.2 mm -,"8,2 x 19,5 x 1,21",17.76,USD
Flotante One,Flotante One,FLOTANTE ONE NOGAL ROJO COD.6353A SILVER,7167,Flotante One Nogal Rojo Cod.6353A Silver 8.2 mm -,"8,2 x 19,5 x 1,21",17.76,USD
Flotante One,Flotante One,FLOTANTE ONE NOGAL ROJO COD.6353A SILVER,8178,Flotante One Nogal Rojo Cod.6353A Silver 8.2 mm -,"8,2 x 19,5 x 1,21",17.76,USD
LVT BERRY ALLOC,Berry Alloc,VINILICO BERRY ALOC DISA 101 S CLICK 55,18423,Vinilico Berry Aloc Disa 101 S Click 55 -,5 x 61.20 x 61.20,23.16,USD
LVT BERRY ALLOC,Berry Alloc,VINILICO BERRY ALOC DISA 101 S CLICK 55,19532,Vinilico Berry Aloc Disa 101 S Click 55 -,5 x 30.60 x 61.20,23.16,USD
Outlet ABA,Outlet ABA,ABA JMW1626,20832,"ABA JMW1626 7,5mm (1,5 LVT + 5,0 WPC + 1,0 Corcho+EIR+0,55 wl) -","7,5 x 17.80 x 1.51",55.48,USD
Outlet ABA,Outlet ABA,ABA JMW1626,21654,"ABA JMW1626 7,8mm (1,8 LVT + 4,5 WPC + 1,5 Corcho + 0,55 wl) -","7,8 x 23.80 x 1.52",55.48,USD
Outlet ABA,Outlet ABA,ABA JMW25101,20824,"ABA JMW25101 7,5mm (1,5 LVT + 5,0 WPC + 1,0 Corcho+EIR+0,55 wl) -","7,5 x 18.00 x 1.22",55.48,USD
Outlet ABA,Outlet ABA,ABA JMW25101,21238,"ABA JMW25101 8,0mm (1,5 LVT + 5,0 WPC + 1,5 Corcho + 0,5 wl) -",8 x 180.00 x 1220.00,55.48,USD
Outlet ABA,Outlet ABA,ABA JMW50801,20830,"ABA JMW50801 8,5mm (2,0 LVT + 5,0 WPC + 1,5 Corcho + 0,55 wl) -","8,5 x 22.50 x 1.83",55.48,USD
Outlet ABA,Outlet ABA,ABA JMW50801,20834,"ABA JMW50801 8,5mm (2,0 LVT + 5,0 WPC + 1,5 Corcho + 0,55 wl) -","8,5 x 22.50 x 1.83",55.48,USD
Outlet LVT,Outlet LVT,LVT OFERTA 9671 5,21139,LVT Oferta 9671-5 4.2 mm (0.3 wl) -,"4,2 x 220.00 x 1220.00",39.94,USD
